Instance_Name,API_Name,vCPU,Memory,Instance_Family,Network_Performance,On_Demand_Cost,Reserved_1Year_Cost,Reserved_3Year_Cost,Spot_Min_Cost,Spot_Max_Cost,Storage,Architecture,Cloud_Provider
M6A 24xlarge,m6a.24xlarge,96 vCPUs,384.0 GiB,M6A,37.5 Gigabit,$4.1472 hourly,$2.74337 hourly,$2.74337 hourly,$1.730300 hourly,$2.253000 hourly,EBS only,64-bit,AWS
M5DN Extra Large,m5dn.xlarge,4 vCPUs,16.0 GiB,M5DN,Up to 25 Gigabit,$0.272 hourly,$0.171 hourly,$0.171 hourly,$0.071500 hourly,$0.207800 hourly,150 GB                 NVMe SSD,64-bit,AWS
C6A Eight Extra Large,c6a.8xlarge,32 vCPUs,64.0 GiB,C6A,12.5 Gigabit,$1.224 hourly,$0.80968 hourly,$0.80968 hourly,$0.544100 hourly,$0.544100 hourly,EBS only,64-bit,AWS
G5 Graphics and Machine Learning GPU 16xlarge,g5.16xlarge,64 vCPUs,256.0 GiB,G5,25 Gigabit,$4.096 hourly,$2.58048 hourly,$2.58048 hourly,$1.228800 hourly,$1.316600 hourly,1900 GB                 NVMe SSD,64-bit,AWS
R5AD 16xlarge,r5ad.16xlarge,64 vCPUs,512.0 GiB,R5AD,12 Gigabit,$4.192 hourly,$2.641 hourly,$2.641 hourly,$1.140000 hourly,$1.796200 hourly,2400 GB                 (4 * 600 GB NVMe SSD),64-bit,AWS
M5A Double Extra Large,m5a.2xlarge,8 vCPUs,32.0 GiB,M5A,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.217 hourly,$0.174100 hourly,$0.225000 hourly,EBS only,64-bit,AWS
M5N Metal,m5n.metal,96 vCPUs,384.0 GiB,M5N,100 Gigabit,$5.712 hourly,$3.599 hourly,$3.599 hourly,$1.706100 hourly,$5.712000 hourly,EBS only,64-bit,AWS
M5AD Double Extra Large,m5ad.2xlarge,8 vCPUs,32.0 GiB,M5AD,Up to 10 Gigabit,$0.412 hourly,$0.26 hourly,$0.26 hourly,$0.216200 hourly,$0.306100 hourly,300 GB                 NVMe SSD,64-bit,AWS
R5B Extra Large,r5b.xlarge,4 vCPUs,32.0 GiB,R5B,Up to 10 Gigabit,$0.298 hourly,$0.18774 hourly,$0.18774 hourly,$0.071300 hourly,$0.106400 hourly,EBS only,64-bit,AWS
R5N 12xlarge,r5n.12xlarge,48 vCPUs,384.0 GiB,R5N,50 Gigabit,$3.576 hourly,$2.253 hourly,$2.253 hourly,$1.529600 hourly,$2.182800 hourly,EBS only,64-bit,AWS
